alumni_id,name,major,company,position,graduation_year
UB0001,Hadi Utami,Teknik Mesin,PT Sejahtera Abadi,Supervisor Admin,2016
UB0002,Bagas Irawan,Agroekoteknologi,PT Bank KEB Hana Indonesia,Supervisor Finance,2018
UB0003,Utomo Budiman,Teknik Informatika,PHINTRACO GROUP,Lead Software Engineer,2021
UB0004,Hadi Irawan,Teknologi Hasil Pertanian,Xiaomi Technology,Analyst Finance,2022
UB0005,Radit Santoso,Ekonomi Islam,PT Mencari Cinta Sejati,Head of Department Admin,2021
UB0006,Lestari Budiman,Ilmu Komunikasi,"PT Bank Danamon Indonesia, Tbk",Junior Staff Sales,2017
UB0007,Agus Wibowo,Teknologi Informasi,PT Penerbit Erlangga,Junior IT Support,2019
UB0008,Bagas Irawan,Ilmu Komunikasi,PT Indocyber Global Teknologi,Junior Staff Operations,2020
UB0009,Qori Zulkarnain,Akuntansi,PT MAS ARYA INDONESIA,Head of Department Marketing,2019
UB0010,Citra Soekarno,Keuangan Perbankan,PT MAS ARYA INDONESIA,Supervisor Marketing,2020
UB0011,Rizky Nugroho,Teknologi Informasi,PT Solusi Transportasi Indonesia,Junior DevOps,2016
UB0012,Putri Kusuma,Teknik Lingkungan,PT Indocyber Global Teknologi,Management Trainee Admin,2017
UB0013,Andi Prasetyo,Ekonomi Islam,PT. Bank KEB Hana Indonesia,Manager Admin,2017
UB0014,Xena Aditama,Ekonomi Islam,PT Penerbit Erlangga,Specialist Finance,2019
UB0015,Nina Prasetyo,Teknik Mesin,Bank Mandiri,Management Trainee Marketing,2020
UB0016,Xena Wibowo,Agribisnis,"PT Bank Danamon Indonesia, Tbk",Junior Staff HR,2022
UB0017,Dinda Gunawan,Teknologi Informasi,Gojek,Junior Software Engineer,2016
UB0018,Julia Efendi,Psikologi,PT Tsubaki Indonesia Manufacturing,Management Trainee Admin,2023
UB0019,Lestari Qodir,Teknologi Hasil Pertanian,Telkom Indonesia,Engineer Admin,2018
UB0020,Bella Hidayat,Sistem Informasi,PT MAS ARYA INDONESIA,Junior Software Engineer,2018
UB0021,Chandra Hartono,Ilmu Ekonomi,PT MAS ARYA INDONESIA,Head of Department Sales,2018
UB0022,Nadia Hartono,Teknologi Informasi,PT. Bank KEB Hana Indonesia,Senior Software Engineer,2015
UB0023,Utomo Widodo,Pendidikan TI,Xiaomi Technology,Management Trainee HR,2016
UB0024,Arif Budiman,Teknologi Informasi,PT Mencari Cinta Sejati,Lead Data Scientist,2020
UB0025,Nadia Aminah,Agribisnis,"PT Japfa Comfeed Indonesia, Tbk",Engineer Finance,2019
UB0026,Desi Wibowo,Agroekoteknologi,PHINTRACO GROUP,Senior Staff Sales,2019
UB0027,Utomo Suharto,Agroekoteknologi,PT Sumber Rejeki,Management Trainee Finance,2020
UB0028,Utomo Nasution,Teknologi Informasi,"PT DCI Indonesia, Tbk",Senior Data Scientist,2020
UB0029,Kartika Kusumo,Agroekoteknologi,PT CFU Technology Indonesia,Junior Staff Admin,2023
UB0030,Pandu Wijaya,Akuntansi,Bank Mandiri,Consultant Sales,2019
UB0031,Pandu Budiman,Teknik Informatika,PT Mencari Cinta Sejati,Lead Data Scientist,2021
UB0032,Joko Nugroho,Teknik Mesin,PT Penerbit Erlangga,Analyst Operations,2018
UB0033,Mahendra Pratama,Ilmu Hukum,StartUp Gagal Bangkit,Head of Department HR,2017
UB0034,Bella Wijaya,Pendidikan TI,PT Tsubaki Indonesia Manufacturing,Head of Department HR,2021
UB0035,Qori Aminah,Ilmu Ekonomi,PT MAS ARYA INDONESIA,Officer Admin,2015
UB0036,Utomo Firmansyah,Teknik Informatika,Bank BCA,Lead Product Manager,2021
UB0037,Rizky Wijaya,Teknik Elektro,Bank BCA,Supervisor Finance,2016
UB0038,Mahendra Yudhoyono,Arsitektur,StartUp Gagal Bangkit,Officer HR,2021
UB0039,Kartika Yudhoyono,Administrasi Publik,PT Penerbit Erlangga,Head of Department Finance,2015
UB0040,Putri Darmawan,Teknik Lingkungan,PT Bank KEB Hana Indonesia,Consultant Finance,2023
UB0041,Putri Nugroho,Administrasi Publik,Shopee,Engineer Admin,2020
UB0042,Bagas Widodo,Teknik Lingkungan,Telkom Indonesia,Junior Staff HR,2020
UB0043,Hana Kusumo,Keuangan Perbankan,"PT DCI Indonesia, Tbk",Head of Department Marketing,2022
UB0044,Dimas Efendi,Teknologi Hasil Pertanian,Tokopedia,Engineer Admin,2020
UB0045,Vina Suharto,Hubungan Internasional,PT Kapal Api Global,Supervisor Finance,2015
UB0046,Dimas Santoso,Keuangan Perbankan,PT Sumber Rejeki,Consultant Finance,2020
UB0047,Budi Yudhoyono,Teknik Industri,PT Handal Guna Sarana,Officer HR,2022
UB0048,Eko Kusumo,Manajemen,PT Mencari Cinta Sejati,Specialist HR,2023
UB0049,Gita Jaya,Teknik Informatika,PT Indocyber Global Teknologi,Senior IT Support,2020
UB0050,Sarah Vebrianto,Pendidikan TI,PT Penerbit Erlangga,Manager HR,2016
UB0051,Putri Yulianto,Ilmu Ekonomi,"PT Japfa Comfeed Indonesia, Tbk",Specialist Finance,2017
UB0052,Eko Suharto,Hubungan Internasional,"PT DCI Indonesia, Tbk",Manager HR,2015
UB0053,Wahyu Baswedan,Arsitektur,PT Solusi Transportasi Indonesia,Manager Admin,2017
UB0054,Joko Baswedan,Teknik Lingkungan,"PT Bank Danamon Indonesia, Tbk",Officer Marketing,2022
UB0055,Wahyu Aditama,Psikologi,PT Indocyber Global Teknologi,Officer Admin,2020
UB0056,Farhan Permata,Ilmu Hukum,PT CFU Technology Indonesia,Analyst Sales,2021
UB0057,Wahyu Pangestu,Pendidikan TI,Telkom Indonesia,Analyst HR,2018
UB0058,Dinda Saputra,Keuangan Perbankan,Xiaomi Technology,Head of Department Admin,2020
UB0059,Citra Pratama,Akuntansi,PT CFU Technology Indonesia,Consultant Marketing,2020
